ques_level1,ques_level2,ques_type,question,multiple_choice_grid_options,choice_options_text,choice_options_no,choice_options_text_ORIG
Q1,,multichoice_single answer,What is your age?,,18 - 24,1,18 - 24
Q1,,multichoice_single answer,What is your age?,,25 - 34,2,25 - 34
Q1,,multichoice_single answer,What is your age?,,35 - 44,3,35 - 44
Q1,,multichoice_single answer,What is your age?,,45 - 54,4,45 - 54
Q1,,multichoice_single answer,What is your age?,,55 - 64,5,55 - 64
Q1,,multichoice_single answer,What is your age?,,over 65,6,over 65
Q2,,multichoice_single answer,What gender do you identify with?,,Male,1,male
Q2,,multichoice_single answer,What gender do you identify with?,,Female,2,female
Q2,,multichoice_single answer,What gender do you identify with?,,Other,3,other
Q3,,multichoice_single answer,What is your highest degree level?,,Undergraduate level qualification,1,undergraduate level qualification
Q3,,multichoice_single answer,What is your highest degree level?,,Honours level qualification,2,honours level qualification
Q3,,multichoice_single answer,What is your highest degree level?,,Masters level qualification,3,masters level qualification
Q3,,multichoice_single answer,What is your highest degree level?,,Doctoral level qualification,4,doctoral level qualification
Q3,,multichoice_single answer,What is your highest degree level?,,Technical qualification,5,technical qualification
Q4,,multichoice_single answer,In what discipline is your highest degree?,,Information and Library Sciences,1,Information and Library Sciences
Q4,,multichoice_single answer,In what discipline is your highest degree?,,Social Science,2,"Social Science (ie. sociology, communications, anthropology, economics, political science, psychology)"
Q4,,multichoice_single answer,In what discipline is your highest degree?,,Humanities,3,"Humanities (ie. education, history, literature, philosophy)"
Q4,,multichoice_single answer,In what discipline is your highest degree?,,Environmental Sciences,4,"Environmental Sciences (ie. geography, earth sciences, water sciences)"
Q4,,multichoice_single answer,In what discipline is your highest degree?,,Life Sciences,5,"Life Sciences (ie. biology, medicine, nursing)"
Q4,,multichoice_single answer,In what discipline is your highest degree?,,Physical and Chemical Sciences,6,Physical and Chemical Sciences
Q4,,multichoice_single answer,In what discipline is your highest degree?,,Technology and Engineering,7,Technology and Engineering
Q4,,multichoice_single answer,In what discipline is your highest degree?,,Computer Sciences,8,Computer Sciences
Q4,,multichoice_single answer,In what discipline is your highest degree?,,Other,9,Other
Q5,,multichoice_single answer,What country do you currently work in?,,Botswana,1,Botswana
Q5,,multichoice_single answer,What country do you currently work in?,,Burkina Faso,2,Burkina Faso
Q5,,multichoice_single answer,What country do you currently work in?,,Ethiopia,3,Ethiopia
Q5,,multichoice_single answer,What country do you currently work in?,,Malawi,4,Malawi
Q5,,multichoice_single answer,What country do you currently work in?,,Mozambique,5,Mozambique
Q5,,multichoice_single answer,What country do you currently work in?,,Senegal,6,Senegal
Q5,,multichoice_single answer,What country do you currently work in?,,Uganda,7,Uganda
Q5,,multichoice_single answer,What country do you currently work in?,,Zimbabwe,8,Zimbabwe
Q5,,multichoice_single answer,What country do you currently work in?,,None of the above,9,none of the above
Q6,,multichoice_single answer,What kind of institution do you currently work in?,,University,1,University
Q6,,multichoice_single answer,What kind of institution do you currently work in?,,College,2,College
Q6,,multichoice_single answer,What kind of institution do you currently work in?,,Government or governmental research institution,3,Government or governmental research institution
Q6,,multichoice_single answer,What kind of institution do you currently work in?,,Private research institution,4,Private research institution
Q6,,multichoice_single answer,What kind of institution do you currently work in?,,Commercial company,5,Commercial company
Q6,,multichoice_single answer,What kind of institution do you currently work in?,,Non-governmental organization (NGO/NPO),6,Non-governmental organization (NGO/NPO)
Q6,,multichoice_single answer,What kind of institution do you currently work in?,,Independent researcher,7,Independent researcher
Q6,,multichoice_single answer,What kind of institution do you currently work in?,,I do not work in an institution conducting research,8,I do not work in an institution conducting research
Q7,,multichoice_single answer,What is your current position in your institution?,,Early career researcher (ie. postdoctoral researcher),1,Early career researcher (ie. postdoctoral researcher)
Q7,,multichoice_single answer,What is your current position in your institution?,,Researcher,2,Researcher
Q7,,multichoice_single answer,What is your current position in your institution?,,Principle investigator or manager,3,Principle investigator or manager
Q7,,multichoice_single answer,What is your current position in your institution?,,Technical staff,4,Technical staff
Q7,,multichoice_single answer,What is your current position in your institution?,,Student,5,Student
Q8,,multichoice_single answer,"Are you currently involved in a research project, or have been in the last 5 years?",,Yes,1,Yes
Q8,,multichoice_single answer,"Are you currently involved in a research project, or have been in the last 5 years?",,No,2,No
Q9,Q9_1,checkbox,"Based on your methods of data collection, what types of data do you generate during your research (select all that apply)?",,Observational data,1,Observational data
Q9,Q9_2,checkbox,"Based on your methods of data collection, what types of data do you generate during your research (select all that apply)?",,Experimental data,2,Experimental data
Q9,Q9_3,checkbox,"Based on your methods of data collection, what types of data do you generate during your research (select all that apply)?",,Simulation data,3,Simulation data
Q9,Q9_4,checkbox,"Based on your methods of data collection, what types of data do you generate during your research (select all that apply)?",,Derived data,4,Derived data
Q10,Q10_1,checkbox,Select the types of data you typically produce as part of your research (select all that apply),,"Documents, spreadsheets",1,"Documents, spreadsheets"
Q10,Q10_2,checkbox,Select the types of data you typically produce as part of your research (select all that apply),,"Laboratory notebooks, field notebooks, diaries",2,"Laboratory notebooks, field notebooks, diaries"
Q10,Q10_3,checkbox,Select the types of data you typically produce as part of your research (select all that apply),,"Questionnaires, transcripts, codebooks",3,"Questionnaires, transcripts, codebooks"
Q10,Q10_4,checkbox,Select the types of data you typically produce as part of your research (select all that apply),,"Audiotapes, videotapes",4,"Audiotapes, videotapes"
Q10,Q10_5,checkbox,Select the types of data you typically produce as part of your research (select all that apply),,"Photographs, films",5,"Photographs, films"
Q10,Q10_6,checkbox,Select the types of data you typically produce as part of your research (select all that apply),,Test responses,6,Test responses
Q10,Q10_7,checkbox,Select the types of data you typically produce as part of your research (select all that apply),,"Slides, artefacts, specimens, samples",7,"Slides, artefacts, specimens, samples"
Q10,Q10_8,checkbox,Select the types of data you typically produce as part of your research (select all that apply),,Collections of digital outputs (ie. images),8,Collections of digital outputs (ie. images)
Q10,Q10_9,checkbox,Select the types of data you typically produce as part of your research (select all that apply),,Data files,9,Data files
Q10,Q10_10,checkbox,Select the types of data you typically produce as part of your research (select all that apply),,"Models, algorithms, scripts",10,"Models, algorithms, scripts"
Q10,Q10_11,checkbox,Select the types of data you typically produce as part of your research (select all that apply),,Methodologies and workflows,11,Methodologies and workflows
Q10,Q10_12,checkbox,Select the types of data you typically produce as part of your research (select all that apply),,Standard operating procedures and protocols,12,Standard operating procedures and protocols
Q11,Q11_1_a_1,multiple choice grid,Where did you store the data you created while you were conducting your research and after research was completed (select all that apply),During research,Non-digital formats (ie. lab books),,non-digital formats (ie. lab books)
Q11,Q11_1_b_1,multiple choice grid,Where did you store the data you created while you were conducting your research and after research was completed (select all that apply),After research is completed,Non-digital formats (ie. lab books),,non-digital formats (ie. lab books)
Q11,Q11_2_a_1,multiple choice grid,Where did you store the data you created while you were conducting your research and after research was completed (select all that apply),During research,External hard drives,,external hard drives
Q11,Q11_2_b_1,multiple choice grid,Where did you store the data you created while you were conducting your research and after research was completed (select all that apply),After research is completed,External hard drives,,external hard drives
Q11,Q11_3_a_1,multiple choice grid,Where did you store the data you created while you were conducting your research and after research was completed (select all that apply),During research,PC hard drives,,PC hard drives
Q11,Q11_3_b_1,multiple choice grid,Where did you store the data you created while you were conducting your research and after research was completed (select all that apply),After research is completed,PC hard drives,,PC hard drives
Q11,Q11_4_a_1,multiple choice grid,Where did you store the data you created while you were conducting your research and after research was completed (select all that apply),During research,USB,,USB
Q11,Q11_4_b_1,multiple choice grid,Where did you store the data you created while you were conducting your research and after research was completed (select all that apply),After research is completed,USB,,USB
Q11,Q11_5_a_1,multiple choice grid,Where did you store the data you created while you were conducting your research and after research was completed (select all that apply),During research,Cloud,,Cloud
Q11,Q11_5_b_1,multiple choice grid,Where did you store the data you created while you were conducting your research and after research was completed (select all that apply),After research is completed,Cloud,,Cloud
Q11,Q11_6_a_1,multiple choice grid,Where did you store the data you created while you were conducting your research and after research was completed (select all that apply),During research,Institutional repository,,institutional repository
Q11,Q11_6_b_1,multiple choice grid,Where did you store the data you created while you were conducting your research and after research was completed (select all that apply),After research is completed,Institutional repository,,institutional repository
Q11,Q11_7_a_1,multiple choice grid,Where did you store the data you created while you were conducting your research and after research was completed (select all that apply),During research,General/disciplinary repository (incl. GitHub),,general/disciplinary repository (including GitHub)
Q11,Q11_7_b_1,multiple choice grid,Where did you store the data you created while you were conducting your research and after research was completed (select all that apply),After research is completed,General/disciplinary repository (incl. GitHub),,general/disciplinary repository (including GitHub)
Q11,Q11_8_a_1,multiple choice grid,Where did you store the data you created while you were conducting your research and after research was completed (select all that apply),During research,Repository of funder,,repository of funder
Q11,Q11_8_b_1,multiple choice grid,Where did you store the data you created while you were conducting your research and after research was completed (select all that apply),After research is completed,Repository of funder,,repository of funder
Q11,Q11_9_a_1,multiple choice grid,Where did you store the data you created while you were conducting your research and after research was completed (select all that apply),During research,Repository of publisher,,repository of publisher
Q11,Q11_9_b_1,multiple choice grid,Where did you store the data you created while you were conducting your research and after research was completed (select all that apply),After research is completed,Repository of publisher,,repository of publisher
Q11,Q11_10_a_1,multiple choice grid,Where did you store the data you created while you were conducting your research and after research was completed (select all that apply),During research,I don't store/archive my data,,I don't store/archive my data
Q11,Q11_10_b_1,multiple choice grid,Where did you store the data you created while you were conducting your research and after research was completed (select all that apply),After research is completed,I don't store/archive my data,,I don't store/archive my data
Q12,,multichoice_single answer,Do you make use of datasets created by other researchers?,,Always,1,always
Q12,,multichoice_single answer,Do you make use of datasets created by other researchers?,,Regularly,2,regularly
Q12,,multichoice_single answer,Do you make use of datasets created by other researchers?,,Rarely,3,rarely
Q12,,multichoice_single answer,Do you make use of datasets created by other researchers?,,Never,4,never
Q13,Q13_1,checkbox,"If you have used existing data in your research, what did you use the data for?",,Research validation,1,research validation
Q13,Q13_2,checkbox,"If you have used existing data in your research, what did you use the data for?",,Replication,2,replication
Q13,Q13_3,checkbox,"If you have used existing data in your research, what did you use the data for?",,Meta-analysis,3,meta-analysis
Q13,Q13_4,checkbox,"If you have used existing data in your research, what did you use the data for?",,Background or context to my research,4,background or context to my research
Q13,Q13_5,checkbox,"If you have used existing data in your research, what did you use the data for?",,Methodology development,5,methodology development
Q13,Q13_6,checkbox,"If you have used existing data in your research, what did you use the data for?",,For baseline data,6,for baseline data
Q13,Q13_7,checkbox,"If you have used existing data in your research, what did you use the data for?",,Teaching material,7,teaching material
Q13,Q13_8,checkbox,"If you have used existing data in your research, what did you use the data for?",,New analysis,8,new analysis
Q13,Q13_9,checkbox,"If you have used existing data in your research, what did you use the data for?",,To foster collaboration,9,to foster collaboration
Q13,Q13_10,checkbox,"If you have used existing data in your research, what did you use the data for?",,For another purpose,10,for another purpose
Q14,Q14_1,checkbox,"If you made use of existing data in your research, what were the top three considerations for you when you selected the data to re-use in your project (please select three)?",,Data are obtained from a reputable source,1,data are obtained from a reputable source
Q14,Q14_2,checkbox,"If you made use of existing data in your research, what were the top three considerations for you when you selected the data to re-use in your project (please select three)?",,Papers exist based on data,2,papers exist based on data
Q14,Q14_3,checkbox,"If you made use of existing data in your research, what were the top three considerations for you when you selected the data to re-use in your project (please select three)?",,High quality data,3,high quality data
Q14,Q14_4,checkbox,"If you made use of existing data in your research, what were the top three considerations for you when you selected the data to re-use in your project (please select three)?",,Dataset is well-documented,4,dataset is well-documented
Q14,Q14_5,checkbox,"If you made use of existing data in your research, what were the top three considerations for you when you selected the data to re-use in your project (please select three)?",,Re-use rights are clearly defined,5,re-use rights are clearly defined
Q14,Q14_6,checkbox,"If you made use of existing data in your research, what were the top three considerations for you when you selected the data to re-use in your project (please select three)?",,Data can be cited,6,data can be cited
Q14,Q14_7,checkbox,"If you made use of existing data in your research, what were the top three considerations for you when you selected the data to re-use in your project (please select three)?",,Data are under open license,7,data are under open license
Q14,Q14_8,checkbox,"If you made use of existing data in your research, what were the top three considerations for you when you selected the data to re-use in your project (please select three)?",,Access is immediate,8,access is immediate
Q14,Q14_9,checkbox,"If you made use of existing data in your research, what were the top three considerations for you when you selected the data to re-use in your project (please select three)?",,Access to raw data as well as aggregated data,9,access to raw data as well as aggregated data
Q14,Q14_10,checkbox,"If you made use of existing data in your research, what were the top three considerations for you when you selected the data to re-use in your project (please select three)?",,Data are in formats that can be easily re-used by me,10,data are in formats that can be easily re-used by me
Q15,Q15_1,checkbox,Has anything stopped you accessing data in the past (select all that apply)?,,I have had no problems,1,I have had no problems
Q15,Q15_2,checkbox,Has anything stopped you accessing data in the past (select all that apply)?,,I don't know where to find data,2,I don't know where to find data
Q15,Q15_3,checkbox,Has anything stopped you accessing data in the past (select all that apply)?,,I am not confident of the quality,3,I am not confident of the quality
Q15,Q15_4,checkbox,Has anything stopped you accessing data in the past (select all that apply)?,,I do not know how to cite the data,4,I do not know how to cite the data
Q15,Q15_5,checkbox,Has anything stopped you accessing data in the past (select all that apply)?,,I do not have the resources to process the data,5,I do not have the resources to process the data
Q15,Q15_6,checkbox,Has anything stopped you accessing data in the past (select all that apply)?,,The data did not have sufficient metadata to make it re-usable,6,the data did not have sufficient metadata to make it re-usable
Q15,Q15_7,checkbox,Has anything stopped you accessing data in the past (select all that apply)?,,Data was not accessible,7,data was not accessible
Q15,Q15_8,checkbox,Has anything stopped you accessing data in the past (select all that apply)?,,Data was not downloadable,8,data was not downloadable
Q15,Q15_9,checkbox,Has anything stopped you accessing data in the past (select all that apply)?,,Not applicable,9,not applicable
Q16,Q16_1,checkbox,Have you made the research data that you used or created as part of your most recent research project available in any of the following ways?,,In an open access institutional repository,1,in an open access institutional repository
Q16,Q16_2,checkbox,Have you made the research data that you used or created as part of your most recent research project available in any of the following ways?,,In a community/disciplinary repository,2,in a community/disciplinary repository
Q16,Q16_3,checkbox,Have you made the research data that you used or created as part of your most recent research project available in any of the following ways?,,"In a generic repository (ie. FigShare, Zenodo)",3,"in a generic repository (ie. FigShare, Zenodo)"
Q16,Q16_4,checkbox,Have you made the research data that you used or created as part of your most recent research project available in any of the following ways?,,As an appendix to a paper,4,as an appendix to a paper
Q16,Q16_5,checkbox,Have you made the research data that you used or created as part of your most recent research project available in any of the following ways?,,Directly to users on request,5,directly to users on request
Q16,Q16_6,checkbox,Have you made the research data that you used or created as part of your most recent research project available in any of the following ways?,,I do not share my data,6,I do not share my data
Q17,Q17_1_a_1,multiple choice grid,At what point do you start sharing different types of data?,immediately on creation,raw datasets,,raw datasets
Q17,Q17_1_b_1,multiple choice grid,At what point do you start sharing different types of data?,on publication,raw datasets,,raw datasets
Q17,Q17_1_c_1,multiple choice grid,At what point do you start sharing different types of data?,after project completion,raw datasets,,raw datasets
Q17,Q17_1_d_1,multiple choice grid,At what point do you start sharing different types of data?,I do not share these data,raw datasets,,raw datasets
Q17,Q17_2_a_1,multiple choice grid,At what point do you start sharing different types of data?,immediately on creation,cleaned datasets,,cleaned datasets
Q17,Q17_2_b_1,multiple choice grid,At what point do you start sharing different types of data?,on publication,cleaned datasets,,cleaned datasets
Q17,Q17_2_c_1,multiple choice grid,At what point do you start sharing different types of data?,after project completion,cleaned datasets,,cleaned datasets
Q17,Q17_2_d_1,multiple choice grid,At what point do you start sharing different types of data?,I do not share these data,cleaned datasets,,cleaned datasets
Q17,Q17_3_a_1,multiple choice grid,At what point do you start sharing different types of data?,immediately on creation,aggregated datasets,,aggregated datasets
Q17,Q17_3_b_1,multiple choice grid,At what point do you start sharing different types of data?,on publication,aggregated datasets,,aggregated datasets
Q17,Q17_3_c_1,multiple choice grid,At what point do you start sharing different types of data?,after project completion,aggregated datasets,,aggregated datasets
Q17,Q17_3_d_1,multiple choice grid,At what point do you start sharing different types of data?,I do not share these data,aggregated datasets,,aggregated datasets
Q17,Q17_4_a_1,multiple choice grid,At what point do you start sharing different types of data?,immediately on creation,other research materials,,other research materials
Q17,Q17_4_b_1,multiple choice grid,At what point do you start sharing different types of data?,on publication,other research materials,,other research materials
Q17,Q17_4_c_1,multiple choice grid,At what point do you start sharing different types of data?,after project completion,other research materials,,other research materials
Q17,Q17_4_d_1,multiple choice grid,At what point do you start sharing different types of data?,I do not share these data,other research materials,,other research materials
Q18,Q18_1_a_1,multiple choice grid,Who is typically given access to data produced by your research pre- and post-publication?,before the publication of the data in an academic journal article: principle investigator/research supervisor,principle investigator/research supervisor,,principle investigator/research supervisor
Q18,Q18_1_b_1,multiple choice grid,Who is typically given access to data produced by your research pre- and post-publication?,after the publication of the data in an academic journal article: principle investigator/research supervisor,principle investigator/research supervisor,,principle investigator/research supervisor
Q18,Q18_2_a_1,multiple choice grid,Who is typically given access to data produced by your research pre- and post-publication?,before the publication of the data in an academic journal article: principle investigator/research supervisor,collaborator,,collaborator
Q18,Q18_2_b_1,multiple choice grid,Who is typically given access to data produced by your research pre- and post-publication?,after the publication of the data in an academic journal article: principle investigator/research supervisor,collaborator,,collaborator
Q18,Q18_3_a_1,multiple choice grid,Who is typically given access to data produced by your research pre- and post-publication?,before the publication of the data in an academic journal article: principle investigator/research supervisor,colleagues at institution,,colleagues at institution
Q18,Q18_3_b_1,multiple choice grid,Who is typically given access to data produced by your research pre- and post-publication?,after the publication of the data in an academic journal article: principle investigator/research supervisor,colleagues at institution,,colleagues at institution
Q18,Q18_4_a_1,multiple choice grid,Who is typically given access to data produced by your research pre- and post-publication?,before the publication of the data in an academic journal article: principle investigator/research supervisor,researchers outside of my institution,,researchers outside of my institution
Q18,Q18_4_b_1,multiple choice grid,Who is typically given access to data produced by your research pre- and post-publication?,after the publication of the data in an academic journal article: principle investigator/research supervisor,researchers outside of my institution,,researchers outside of my institution
Q18,Q18_5_a_1,multiple choice grid,Who is typically given access to data produced by your research pre- and post-publication?,before the publication of the data in an academic journal article: principle investigator/research supervisor,general public,,general public
Q18,Q18_5_b_1,multiple choice grid,Who is typically given access to data produced by your research pre- and post-publication?,after the publication of the data in an academic journal article: principle investigator/research supervisor,general public,,general public
Q18,Q18_6_a_1,multiple choice grid,Who is typically given access to data produced by your research pre- and post-publication?,before the publication of the data in an academic journal article: principle investigator/research supervisor,other,,other
Q18,Q18_6_b_1,multiple choice grid,Who is typically given access to data produced by your research pre- and post-publication?,after the publication of the data in an academic journal article: principle investigator/research supervisor,other,,other
Q18,Q18_7_a_1,multiple choice grid,Who is typically given access to data produced by your research pre- and post-publication?,before the publication of the data in an academic journal article: principle investigator/research supervisor,no one,,no one
Q18,Q18_7_b_1,multiple choice grid,Who is typically given access to data produced by your research pre- and post-publication?,after the publication of the data in an academic journal article: principle investigator/research supervisor,no one,,no one
Q20,Q20_1,checkbox,What other concerns influence your sharing of datasets (select all that apply)?,,I am concerned about being given proper citation,1,I am concerned about being given proper citation
Q20,Q20_2,checkbox,What other concerns influence your sharing of datasets (select all that apply)?,,I am concerned that my research will be scooped,2,I am concerned that my research will be scooped
Q20,Q20_3,checkbox,What other concerns influence your sharing of datasets (select all that apply)?,,I am concerned about misinterpretation or misuse,3,I am concerned about misinterpretation or misuse
Q20,Q20_4,checkbox,What other concerns influence your sharing of datasets (select all that apply)?,,intellectual property or confidentiality issues,4,intellectual property or confidentiality issues
Q20,Q20_5,checkbox,What other concerns influence your sharing of datasets (select all that apply)?,,ethical concerns,5,ethical concerns
Q20,Q20_6,checkbox,What other concerns influence your sharing of datasets (select all that apply)?,,my funder/institution does not require data sharing,6,my funder/institution does not require data sharing
Q20,Q20_7,checkbox,What other concerns influence your sharing of datasets (select all that apply)?,,I do not think it is my responsibility,7,I do not think it is my responsibility
Q20,Q20_8,checkbox,What other concerns influence your sharing of datasets (select all that apply)?,,I do not consider my data relevant,8,I do not consider my data relevant
Q20,Q20_9,checkbox,What other concerns influence your sharing of datasets (select all that apply)?,,I am not concerned about sharing my data,9,I am not concerned about sharing my data
Q21,,multichoice_single answer,Have there been any instances where you have elected not to share research data?,,yes,1,yes
Q21,,multichoice_single answer,Have there been any instances where you have elected not to share research data?,,no,2,no
Q22,Q22_1,checkbox,"If yes, did your decision relate to any of the following characteristics of your data (select all that apply)?",,sensitive personal data,1,sensitive personal data
Q22,Q22_2,checkbox,"If yes, did your decision relate to any of the following characteristics of your data (select all that apply)?",,identifiable patient data,2,identifiable patient data
Q22,Q22_3,checkbox,"If yes, did your decision relate to any of the following characteristics of your data (select all that apply)?",,commercially sensitive data,3,commercially sensitive data
Q22,Q22_4,checkbox,"If yes, did your decision relate to any of the following characteristics of your data (select all that apply)?",,other types of confidential data,4,other types of confidential data
Q23,,multichoice_single answer,Please respond to the following statement: my understanding of the Open Data movement is sufficient for me to engage in open research activities?,,I consider myself sufficiently informed,1,I consider myself sufficiently informed
Q23,,multichoice_single answer,Please respond to the following statement: my understanding of the Open Data movement is sufficient for me to engage in open research activities?,,I have heard of Open Data but would like more information on Open Data,2,I have heard of Open Data but would like more information on Open Data
Q23,,multichoice_single answer,Please respond to the following statement: my understanding of the Open Data movement is sufficient for me to engage in open research activities?,,Open Data is a new topic for me,3,Open Data is a new topic for me
Q24,Q24_1,checkbox,"If Open Data is not a new topic for you, who has influenced your understanding of Open Data (select all that apply)?",,formal instruction from my institution,1,formal instruction from my institution
Q24,Q24_2,checkbox,"If Open Data is not a new topic for you, who has influenced your understanding of Open Data (select all that apply)?",,online educational materials,2,online educational materials
Q24,Q24_3,checkbox,"If Open Data is not a new topic for you, who has influenced your understanding of Open Data (select all that apply)?",,discussions with my institutional colleagues,3,discussions with my institutional colleagues
Q24,Q24_4,checkbox,"If Open Data is not a new topic for you, who has influenced your understanding of Open Data (select all that apply)?",,engagement with international research networks,4,engagement with international research networks
Q24,Q24_5,checkbox,"If Open Data is not a new topic for you, who has influenced your understanding of Open Data (select all that apply)?",,international collaborations,5,international collaborations
Q24,Q24_6,checkbox,"If Open Data is not a new topic for you, who has influenced your understanding of Open Data (select all that apply)?",,funding requirements,6,funding requirements
Q24,Q24_7,checkbox,"If Open Data is not a new topic for you, who has influenced your understanding of Open Data (select all that apply)?",,journal publishing requirements,7,journal publishing requirements
Q24,Q24_8,checkbox,"If Open Data is not a new topic for you, who has influenced your understanding of Open Data (select all that apply)?",,articles that I have read in journals or magazines,8,articles that I have read in journals or magazines
Q24,Q24_9,checkbox,"If Open Data is not a new topic for you, who has influenced your understanding of Open Data (select all that apply)?",,mainstream media,9,mainstream media
Q25,Q25_1,checkbox,What value does Open Data contribute? Please select three of the following statements:,,it enables the unrestricted access to data for re-use,1,it enables the unrestricted access to data for re-use
Q25,Q25_2,checkbox,What value does Open Data contribute? Please select three of the following statements:,,it increases research transparency,2,it increases research transparency
Q25,Q25_3,checkbox,What value does Open Data contribute? Please select three of the following statements:,,it increases research reproducibility,3,it increases research reproducibility
Q25,Q25_4,checkbox,What value does Open Data contribute? Please select three of the following statements:,,it improves the return on public investment in research,4,it improves the return on public investment in research
Q25,Q25_5,checkbox,What value does Open Data contribute? Please select three of the following statements:,,it increases the speed of research,5,it increases the speed of research
Q25,Q25_6,checkbox,What value does Open Data contribute? Please select three of the following statements:,,it improves the equitable access to research resources,6,it improves the equitable access to research resources
Q26,Q26_1,checkbox,What do you see as the major barriers for publishing data as open data (select all that apply)?,,"legal constraints (data privacy, national security, protection of confidentiality)",1,"legal constraints (data privacy, national security, protection of confidentiality)"
Q26,Q26_2,checkbox,What do you see as the major barriers for publishing data as open data (select all that apply)?,,intellectual property rights,2,intellectual property rights
Q26,Q26_3,checkbox,What do you see as the major barriers for publishing data as open data (select all that apply)?,,organisational constraints,3,organisational constraints
