ques_level1,ques_level2,ques_type,question,multiple_choice_grid_options,choice_options_text,choice_options_no
Q1,,multichoice_single answer,What is your age?,,18 - 24,1
Q1,,multichoice_single answer,What is your age?,,25 - 34,2
Q1,,multichoice_single answer,What is your age?,,35 - 44,3
Q1,,multichoice_single answer,What is your age?,,45 - 54,4
Q1,,multichoice_single answer,What is your age?,,55 - 64,5
Q1,,multichoice_single answer,What is your age?,,over 65,6
Q2,,multichoice_single answer,What gender do you identify with?,,male,1
Q2,,multichoice_single answer,What gender do you identify with?,,female,2
Q2,,multichoice_single answer,What gender do you identify with?,,other,3
Q3,,multichoice_single answer,What is your highest degree level?,,undergraduate level qualification,1
Q3,,multichoice_single answer,What is your highest degree level?,,honours level qualification,2
Q3,,multichoice_single answer,What is your highest degree level?,,masters level qualification,3
Q3,,multichoice_single answer,What is your highest degree level?,,doctoral level qualification,4
Q3,,multichoice_single answer,What is your highest degree level?,,technical qualification,5
Q4,,multichoice_single answer,In what discipline is your highest degree?,,Information and Library Sciences,1
Q4,,multichoice_single answer,In what discipline is your highest degree?,,"Social Science (ie. sociology, communications, anthropology, economics, political science, psychology)",2
Q4,,multichoice_single answer,In what discipline is your highest degree?,,"Humanities (ie. education, history, literature, philosophy)",3
Q4,,multichoice_single answer,In what discipline is your highest degree?,,"Environmental Sciences (ie. geography, earth sciences, water sciences)",4
Q4,,multichoice_single answer,In what discipline is your highest degree?,,"Life Sciences (ie. biology, medicine, nursing)",5
Q4,,multichoice_single answer,In what discipline is your highest degree?,,Physical and Chemical Sciences,6
Q4,,multichoice_single answer,In what discipline is your highest degree?,,Technology and Engineering,7
Q4,,multichoice_single answer,In what discipline is your highest degree?,,Computer Sciences,8
Q4,,multichoice_single answer,In what discipline is your highest degree?,,Other,9
Q5,,multichoice_single answer,What country do you currently work in?,,Botswana,1
Q5,,multichoice_single answer,What country do you currently work in?,,Burkina Faso,2
Q5,,multichoice_single answer,What country do you currently work in?,,Ethiopia,3
Q5,,multichoice_single answer,What country do you currently work in?,,Malawi,4
Q5,,multichoice_single answer,What country do you currently work in?,,Mozambique,5
Q5,,multichoice_single answer,What country do you currently work in?,,Senegal,6
Q5,,multichoice_single answer,What country do you currently work in?,,Uganda,7
Q5,,multichoice_single answer,What country do you currently work in?,,Zimbabwe,8
Q5,,multichoice_single answer,What country do you currently work in?,,none of the above,9
Q6,,multichoice_single answer,What kind of institution do you currently work in?,,University,1
Q6,,multichoice_single answer,What kind of institution do you currently work in?,,College,2
Q6,,multichoice_single answer,What kind of institution do you currently work in?,,Government or governmental research institution,3
Q6,,multichoice_single answer,What kind of institution do you currently work in?,,Private research institution,4
Q6,,multichoice_single answer,What kind of institution do you currently work in?,,Commercial company,5
Q6,,multichoice_single answer,What kind of institution do you currently work in?,,Non-governmental organization (NGO/NPO),6
Q6,,multichoice_single answer,What kind of institution do you currently work in?,,Independent researcher,7
Q6,,multichoice_single answer,What kind of institution do you currently work in?,,I do not work in an institution conducting research,8
Q7,,multichoice_single answer,What is your current position in your institution?,,Early career researcher (ie. postdoctoral researcher),1
Q7,,multichoice_single answer,What is your current position in your institution?,,Researcher,2
Q7,,multichoice_single answer,What is your current position in your institution?,,Principle investigator or manager,3
Q7,,multichoice_single answer,What is your current position in your institution?,,Technical staff,4
Q7,,multichoice_single answer,What is your current position in your institution?,,Student,5
Q8,,multichoice_single answer,"Are you currently involved in a research project, or have been in the last 5 years?",,Yes,1
Q8,,multichoice_single answer,"Are you currently involved in a research project, or have been in the last 5 years?",,No,2
Q9,Q9_1,checkbox,"Based on your methods of data collection, what types of data do you generate during your research (select all that apply)?",,Observational data,1
Q9,Q9_2,checkbox,"Based on your methods of data collection, what types of data do you generate during your research (select all that apply)?",,Experimental data,2
Q9,Q9_3,checkbox,"Based on your methods of data collection, what types of data do you generate during your research (select all that apply)?",,Simulation data,3
Q9,Q9_4,checkbox,"Based on your methods of data collection, what types of data do you generate during your research (select all that apply)?",,Derived data,4
Q10,Q10_1,checkbox,Select the types of data you typically produce as part of your research (select all that apply),,"Documents, spreadsheets",1
Q10,Q10_2,checkbox,Select the types of data you typically produce as part of your research (select all that apply),,"Laboratory notebooks, field notebooks, diaries",2
Q10,Q10_3,checkbox,Select the types of data you typically produce as part of your research (select all that apply),,"Questionnaires, transcripts, codebooks",3
Q10,Q10_4,checkbox,Select the types of data you typically produce as part of your research (select all that apply),,"Audiotapes, videotapes",4
Q10,Q10_5,checkbox,Select the types of data you typically produce as part of your research (select all that apply),,"Photographs, films",5
Q10,Q10_6,checkbox,Select the types of data you typically produce as part of your research (select all that apply),,Test responses,6
Q10,Q10_7,checkbox,Select the types of data you typically produce as part of your research (select all that apply),,"Slides, artefacts, specimens, samples",7
Q10,Q10_8,checkbox,Select the types of data you typically produce as part of your research (select all that apply),,Collections of digital outputs (ie. images),8
Q10,Q10_9,checkbox,Select the types of data you typically produce as part of your research (select all that apply),,Data files,9
Q10,Q10_10,checkbox,Select the types of data you typically produce as part of your research (select all that apply),,"Models, algorithms, scripts",10
Q10,Q10_11,checkbox,Select the types of data you typically produce as part of your research (select all that apply),,Methodologies and workflows,11
Q10,Q10_12,checkbox,Select the types of data you typically produce as part of your research (select all that apply),,Standard operating procedures and protocols,12
Q11,Q11_1_a_1,multiple choice grid,Where did you store the data you created while you were conducting your research and after research was completed (select all that apply),During research,non-digital formats (ie. lab books),
Q11,Q11_1_b_1,multiple choice grid,Where did you store the data you created while you were conducting your research and after research was completed (select all that apply),After research is completed,non-digital formats (ie. lab books),
Q11,Q11_2_a_1,multiple choice grid,Where did you store the data you created while you were conducting your research and after research was completed (select all that apply),During research,external hard drives,
Q11,Q11_2_b_1,multiple choice grid,Where did you store the data you created while you were conducting your research and after research was completed (select all that apply),After research is completed,external hard drives,
Q11,Q11_3_a_1,multiple choice grid,Where did you store the data you created while you were conducting your research and after research was completed (select all that apply),During research,PC hard drives,
Q11,Q11_3_b_1,multiple choice grid,Where did you store the data you created while you were conducting your research and after research was completed (select all that apply),After research is completed,PC hard drives,
Q11,Q11_4_a_1,multiple choice grid,Where did you store the data you created while you were conducting your research and after research was completed (select all that apply),During research,USB,
Q11,Q11_4_b_1,multiple choice grid,Where did you store the data you created while you were conducting your research and after research was completed (select all that apply),After research is completed,USB,
Q11,Q11_5_a_1,multiple choice grid,Where did you store the data you created while you were conducting your research and after research was completed (select all that apply),During research,Cloud,
Q11,Q11_5_b_1,multiple choice grid,Where did you store the data you created while you were conducting your research and after research was completed (select all that apply),After research is completed,Cloud,
Q11,Q11_6_a_1,multiple choice grid,Where did you store the data you created while you were conducting your research and after research was completed (select all that apply),During research,institutional repository,
Q11,Q11_6_b_1,multiple choice grid,Where did you store the data you created while you were conducting your research and after research was completed (select all that apply),After research is completed,institutional repository,
Q11,Q11_7_a_1,multiple choice grid,Where did you store the data you created while you were conducting your research and after research was completed (select all that apply),During research,general/disciplinary repository (including GitHub),
Q11,Q11_7_b_1,multiple choice grid,Where did you store the data you created while you were conducting your research and after research was completed (select all that apply),After research is completed,general/disciplinary repository (including GitHub),
Q11,Q11_8_a_1,multiple choice grid,Where did you store the data you created while you were conducting your research and after research was completed (select all that apply),During research,repository of funder,
Q11,Q11_8_b_1,multiple choice grid,Where did you store the data you created while you were conducting your research and after research was completed (select all that apply),After research is completed,repository of funder,
Q11,Q11_9_a_1,multiple choice grid,Where did you store the data you created while you were conducting your research and after research was completed (select all that apply),During research,repository of publisher,
Q11,Q11_9_b_1,multiple choice grid,Where did you store the data you created while you were conducting your research and after research was completed (select all that apply),After research is completed,repository of publisher,
Q11,Q11_10_a_1,multiple choice grid,Where did you store the data you created while you were conducting your research and after research was completed (select all that apply),During research,I don't store/archive my data,
Q11,Q11_10_b_1,multiple choice grid,Where did you store the data you created while you were conducting your research and after research was completed (select all that apply),After research is completed,I don't store/archive my data,
Q12,,multichoice_single answer,Do you make use of datasets created by other researchers?,,always,1
