"URN","Unique Response Number"
"Q1","Qual é a sua idade?"
"1","18 - 24"
"2","25 - 34"
"3","35 - 44"
"4","45 - 54"
"5","55 - 64"
"6","mais de 65"
"Q2","Qual é o seu diploma mais elevado?"
"1","Primeiro ciclo universitário"
"2","Distinção honorífica"
"3","Mestrado"
"4","Doutoramento"
"5","Qualificação profissional"
"Q3","Com que género se identifica?"
"1","homem"
"2","mulher"
"3","outro"
"Q4","Em que disciplina foi obtido o seu diploma mais elevado?"
"1","Ciências da informação e das bibliotecas"
"2","Ciências sociais (sociologia, comunicação, antropologia, economia, ciência política)"
"3","Ciências humanas (educação, história, letras, filosofia, psicologia)"
"4","Ciências do ambiente (geografia, ciências da terra, ciências da água)"
"5","Ciências da vida (biologia, medicina, enfermagem, etc.)"
"6","Ciências físicas e químicas"
"7","Tecnologia e engenharia"
"8","Informática"
"9","Outra"
"Q5","Em que país é que trabalha actualmente?"
"1","Botswana"
"2","Burkina Faso"
"3","Etiópia"
"4","Malawi"
"5","Moçambique"
"6","Senegal"
"7","Uganda"
"8","Zimbábue"
"9","Nenhum destes países"
"Q6","Em que tipo de instituição trabalha actualmente?"
"1","Universidade"
"2","Colégio"
"3","Governo ou instituição governamental de investigação"
"4","Instituição privada de investigação"
"5","Sociedade comercial"
"6","Organização não governamental (ONG)"
"7","Investigador independente"
"8","Não trabalho numa instituição que faz investigação"
"Q7","Qual é a sua posição actual na sua instituição?"
"1","Investigador em princípio de carreira ( Investigador pós doutoramento, etc...)"
"2","Investigador"
"3","Investigador principal ou gestor de um projecto de investigação"
"4","Técnico de pessoal"
"5","Estudante"
"Q8","Está actualmente envolvido num projecto de investigação ou tem estado durante os últimos 5 anos?"
"1","sim"
"2","não"
"Q9","Com base nos seus métodos de recolha de dados, que tipo de dados é que você produz durante a sua investigação? (Seleccione todas as respostas que se aplicam)"
"1","Dados de observação"
"2","Dados experimentais"
"3","Dados de simulação"
"4","Dados derivados"
"Q10","Seleccione os tipos de dados que você produz geralmente no quadro da sua investigação. (seleccione todas as respostas que se aplicam)."
"1","Documentos, folhas de cálculo"
"2","Cadernos de laboratório, cadernos de campo, diários de bordo"
"3","Questionários, transcrições, livros de códigos"
"4","Cassetes audio, cassetes video,"
"5","Fotografias, filmes"
"6","Respostas a textos"
"7","Diapositivos, artefactos, espécimes, amostras"
"8","Colecções digitais (imagens etc.)"
"9","Ficheiros de dados"
"10","Modelos, algoritmos, guiões"
"11","Metodologias e fluxo de trabalho"
"12","Procedimentos e protocolos de exploração standard"
