"URN","Unique Response Number"
"Q1","What is your age?"
"1","18 - 24"
"2","25 - 34"
"3","35 - 44"
"4","45 - 54"
"5","55 - 64"
"6","over 65"
"Q2","What gender do you identify with?"
"1","male"
"2","female"
"3","other"
"Q3","What is your highest degree level?"
"1","undergraduate level qualification"
"2","honours level qualification"
"3","masters level qualification"
"4","doctoral level qualification"
"5","technical qualification"
"Q4","In what discipline is your highest degree?"
"1","Information and Library Sciences"
"2","Social Science (ie. sociology, communications, anthropology, economics, political science, psychology)"
"3","Humanities (ie. education, history, literature, philosophy)"
"4","Environmental Sciences (ie. geography, earth sciences, water sciences)"
"5","Life Sciences (ie. biology, medicine, nursing)"
"6","Physical and Chemical Sciences"
"7","Technology and Engineering"
"8","Computer Sciences"
"9","Other"
"Q5","What country do you currently work in?"
"1","Botswana"
"2","Burkina Faso"
"3","Ethiopia"
"4","Malawi"
"5","Mozambique"
"6","Senegal"
"7","Uganda"
"8","Zimbabwe"
"9","none of the above"
"Q6","What kind of institution do you currently work in?"
"1","University"
"2","College"
"3","Government or governmental research institution"
"4","Private research institution"
"5","Commercial company"
"6","Non-governmental organization (NGO/NPO)"
"7","Independent researcher"
"8","I do not work in an institution conducting research"
"Q7","What is your current position in your institution?"
"1","Early career researcher (ie. postdoctoral researcher)"
"2","Researcher"
"3","Principle investigator or manager"
"4","Technical staff"
"5","Student"
"Q8","Are you currently involved in a research project, or have been in the last 5 years?"
"1","Yes"
"2","No"
"Q9","Based on your methods of data collection, what types of data do you generate during your research (select all that apply)?"
"1","Observational data"
"2","Experimental data"
"3","Simulation data"
"4","Derived data"
"Q10","Select the types of data you typically produce as part of your research (select all that apply)"
"1","Documents, spreadsheets"
"2","Laboratory notebooks, field notebooks, diaries"
"3","Questionnaires, transcripts, codebooks"
"4","Audiotapes, videotapes"
"5","Photographs, films"
"6","Test responses"
"7","Slides, artefacts, specimens, samples"
"8","Collections of digital outputs (ie. images)"
"9","Data files"
"10","Models, algorithms, scripts"
"11","Methodologies and workflows"
"12","Standard operating procedures and protocols"
"Q11","Where did you store the data you created while you were conducting your research and after research was completed (select all that apply)"
"Q11_1_a","non-digital formats (ie. lab books)"
"1","During research"
"Q11_1_b","non-digital formats (ie. lab books)"
"1","After research is completed"
"Q11_2_a","external hard drives"
"1","During research"
"Q11_2_b","external hard drives"
"1","After research is completed"
"Q11_3_a","PC hard drives"
"1","During research"
"Q11_3_b","PC hard drives"
"1","After research is completed"
"Q11_4_a","USB"
"1","During research"
"Q11_4_b","USB"
"1","After research is completed"
"Q11_5_a","Cloud"
"1","During research"
"Q11_5_b","Cloud"
"1","After research is completed"
"Q11_6_a","institutional repository"
"1","During research"
"Q11_6_b","institutional repository"
"1","After research is completed"
"Q11_7_a","general/disciplinary repository (including GitHub)"
"1","During research"
"Q11_7_b","general/disciplinary repository (including GitHub)"
"1","After research is completed"
"Q11_8_a","repository of funder"
"1","During research"
"Q11_8_b","repository of funder"
"1","After research is completed"
"Q11_9_a","repository of publisher"
"1","During research"
"Q11_9_b","repository of publisher"
"1","After research is completed"
"Q11_10_a","I don't store/archive my data"
"1","During research"
"Q11_10_b","I don't store/archive my data"
"1","After research is completed"
"Q12","Do you make use of datasets created by other researchers?"
"1","always"
"2","regularly"
"3","rarely"
"4","never"
"Q13","If you have used existing data in your research, what did you use the data for?"
"1","research validation"
"2","replication"
"3","meta-analysis"
"4","background or context to my research"
"5","methodology development"
"6","for baseline data"
"7","teaching material"
"8","new analysis"
"9","to foster collaboration"
"10","for another purpose"
"Q14","If you made use of existing data in your research, what were the top three considerations for you when you selected the data to re-use in your project (please select three)?"
"1","data are obtained from a reputable source"
"2","papers exist based on data"
"3","high quality data"
"4","dataset is well-documented"
"5","re-use rights are clearly defined"
"6","data can be cited"
"7","data are under open license"
"8","access is immediate"
"9","access to raw data as well as aggregated data"
"10","data are in formats that can be easily re-used by me"
"Q15","Has anything stopped you accessing data in the past (select all that apply)?"
"1","I have had no problems"
"2","I don't know where to find data"
"3","I am not confident of the quality"
"4","I do not know how to cite the data"
"5","I do not have the resources to process the data"
"6","the data did not have sufficient metadata to make it re-usable"
"7","data was not accessible"
"8","data was not downloadable"
"9","not applicable"
"Q16","Have you made the research data that you used or created as part of your most recent research project available in any of the following ways?"
"1","in an open access institutional repository"
"2","in a community/disciplinary repository"
"3","in a generic repository (ie. FigShare, Zenodo)"
"4","as an appendix to a paper"
"5","directly to users on request"
"6","I do not share my data"
"Q17","At what point do you start sharing different types of data?"
"Q17_1_a","raw datasets"
"1","immediately on creation"
"Q17_1_b","raw datasets"
"1","on publication"
"Q17_1_c","raw datasets"
"1","after project completion"
"Q17_1_d","raw datasets"
"1","I do not share these data"
"Q17_2_a","cleaned datasets"
"1","immediately on creation"
"Q17_2_b","cleaned datasets"
"1","on publication"
"Q17_2_c","cleaned datasets"
"1","after project completion"
"Q17_2_d","cleaned datasets"
"1","I do not share these data"
"Q17_3_a","aggregated datasets"
"1","immediately on creation"
"Q17_3_b","aggregated datasets"
"1","on publication"
"Q17_3_c","aggregated datasets"
